,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - espessura,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
91,96,Balança,,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"Balança, de grande porte, confeccionada em madeira e metal, pintada em tom azul claro. Apresenta estrutura inferior retangular e longilínea para colocação do produto a ser pesado, composta por três tábuas largas de madeira, encimadas por seis tiras de ferro fixadas às mesmas através de pregos em metal. Em sentido vertical, destaca-se tábua, com a parte superior abaulada, encaixada na base e apoiada por suporte em tábua bipartida, disposta em diagonal, que permite a passagem da estrutura de metal (ferro) correspondente ao prumo. Na extremidade, fixado à chapa de metal através de quatro correntes arrematadas por gancho, prato quadrangular de madeira, pintado de azul, para receber o peso de balança, apoiado sobre duas ripas de madeira que funcionam como base. Na chapa de ferro superior, a inscrição ""100"" e uma espécie de manivela com pino em madeira escura.","71,5","44,3",110,,,,Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
92,97,Peso,,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"Peso de médio porte, fundido em metal (chumbo), equivalente a ... quilos. Peça composta por corpo em formato cônico, contendo oito facetas verticais, e base circular. Parte superior do objeto com haste de sustentação em argola.",20,,,,10,,Metal,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
93,98,Peso,,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"Peso de médio porte, fundido em metal (chumbo), equivalente a ... quilos. Peça composta por corpo em formato cônico, contendo seis facetas verticais, e base circular. Parte superior do objeto com haste de sustentação em argola.",16,,,,8,,Metal,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
94,99,Peso,,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"Peso de pequeno porte, fundido em metal (chumbo), equivalente a ... quilos. Peça composta por corpo em formato cônico, contendo seis facetas verticais, e base circular ornada por friso abaulado. Parte superior do objeto com haste de sustentação em argola.",11,,,,8,,Metal,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
95,100,Peso,,Não identificado,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"Peso de pequeno porte, fundido em metal (chumbo), equivalente a ... quilos. Peça composta por corpo em formato cônico, contendo seis facetas verticais, e base circular ornada por friso abaulado. Parte superior do objeto com haste de sustentação em argola.",7,,,,6,,Metal,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
0,101,Bateia,,Não identificado,06 Trabalho > 06.6 Equipamento de Mineração,"Bateia, de tamanho médio, confeccionada em madeira lisa, de formato circular e fundo cônico. Peça apresentando orifício próximo à borda.",,,,,66,,Madeira,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
1,102,Arado,,Oliver,06 Trabalho > 06.1 Equipamento Agrícola,"Arado confeccionado em madeira e metal (ferro) fundido. Objeto de uso agrícola, de estrutura longilínea, composto em um dos lados por dois braços de madeira com extremidades em curva (para encaixe das mãos), tendo, ao centro, disposto perpendicularmente estrutura em ferro, em formato de arco, denteada, com sistema de regulagem feito através de longo cabo de ferro. Estruturas de ferro fixadas nos braços do arado através de arruelas, porcas e parafusos. Na lateral do objeto, chapa de metal, de formato irregular, com um das extremidades abauladas e a outra arrematada por ponta de ""seta"" (que permite arar a terra), tendo no verso da placa possivelmente a marca do fabricante: ""Oliver""/ (desenho pouco legível)/ ""51.X"". Abaixo dos braços, estrutura de sustentação, de recorte irregular, com a inscrição ""51 ½"". Sobre a mesma, tora de madeira disposta horizontalmente com estruturas de ferro fixadas por três parafusos, porcas e arruelas (quarto parafuso inexistente). Na parte frontal do objeto, quatro chapas de ferro com orifícios, dispostas paralelamente, duas a duas, intercaladas por uma pequena roda em chapa de ferro, que permite a circulação do arado. Peça arrematada por argola.",79,54,"177,5",,,,Madeira | Metal,Brasil | Europa,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
2,103,Leito (miniatura),,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Leito com dossel, em miniatura, confeccionado em madeira (jacarandá mineiro ?), de linhas retilíneas, em estilo D. Maria I, com embutidos em filetes e ormatos de madeira mais clara, na técnica da marchetaria. Apresenta a parte superior da cabeceira em recorte sinuoso, emoldurado por dupla de filetes, tendo, ao centro, monograma com as iniciais “MA” inserido em sol circundado por raios, e, logo abaixo, ornato composto por ramo de flores com pétalas em formato circular (à esquerda) e ramagem (à direita), que se cruzam na parte inferior. Na parte inferior da cabeceira, travessa de madeira delgada e lisa. Estrado do leito formado por seis travessas. Objeto apoiado sobre quatro pés de secção quadrangular, que se prolongam compondo os varais do dossel, ornados por filetes em madeira mais clara. Parte superior do dossel composta por quatro hastes sinuosas, fixadas por pregos, e arrematada por bilro.",40,"18,1","31,5",,,,Madeira,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
3,104,Talha (ornato): motivo floral,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como ornato floral, confeccionado em madeira (cedro) entalhada, sem policromia. Peça composta por estrutura longilínea vertical, tendo a parte posterior lisa para encaixe no retábulo. Objeto ornado por seis buquês de flores, folhas de acanto, estando três delas complementadas por filete perlado na parte frontal, além de quatro folhagens intermediárias, dispostas em diagonal.",126,"15,3",,11,,,Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
4,105,Talha (ornato): motivo floral,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como ornato floral, confeccionado em madeira (cedro) entalhada, sem policromia. Peça composta por estrutura longilínea vertical, tendo a parte posterior lisa para encaixe no retábulo. Objeto ornado por dois buquês de flores, folhas de acanto, além de filete perlado na parte central e fita disposta em diagonal. Extremidade do objeto em folhagem estilizada arrematada por linhas sinuosas e ponta abaulada.","66,8","15,7",,"8,5",,,Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
5,106,Talha (ornato): palmeta,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, em formato de folha estilizada, identificado como palmeta, confeccionada em madeira (cedro) entalhada, sem policromia e com vestígios de douramento. Objeto composto por folhas estriadas, tendo a folha do lado esquerdo com a extremidade em voluta. Parte posterior do objeto lisa.",90.0,55,,7,,,Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
6,107,Talha (ornato): motivo floral,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como ornato floral, confeccionado em madeira (cedro) entalhada, sem policromia. Peça composta por estrutura longilínea vertical, tendo a parte posterior lisa para encaixe no retábulo. Objeto ornado por cinco buquês de flores, folhas de acanto, estando duas delas complementadas por filete perlado na parte central e fita disposta em diagonal.",93,15,,"11,1",,,Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
7,108,Castiçal,,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Castiçal confeccionado em madeira (cedro) entalhada e policromada, com características do estilo rococó. Parte superior da peça com estrutura bojuda e superfície circular para encaixe de vela. Corpo com entalhe em curvas, tendo motivo fitomorfo seguido de volutas em relevo contornadas por friso em tom amarelo sob fundo em tom vermelho. Parte inferior arrematada por dois pés em volutas. Objeto apoiado sobre base recortada e escalonada, tendo a parte frontal abaulada e pintada em tom prateado (pintura posterior).",58,"15,8","24,3",,,,Madeira | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
8,110,Luminária,,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Luminária [de parede] confeccionada em metal (folha-de-flandres), pintada em tom azul claro. Peça composta por haste vertical e três braços em curva para encaixe de pontos de luz. Parte superior do objeto em estrutura cilíndrica formada por chapa de metal retorcido, de onde sobressaem quatro hastes. Apresenta haste central delgada e retilínea, direcionada para baixo e arrematada por espécie de ponta de flecha (chapada). As três hastes posicionadas à frente da haste central apresentam corpo em curva, voltado para cima, ornado por volutas e arrematados por bocal.",61,76,,,,,Metal (folha-de-flandres) | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
9,111,Luminária,,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Luminária [de parede] confeccionada em metal (folha-de-flandres), pintada em tom azul claro. Peça composta por haste vertical e três braços em curva para encaixe de pontos de luz. Parte superior do objeto em estrutura cilíndrica formada por chapa de metal retorcido, de onde sobressaem quatro hastes. Apresenta haste central delgada e retilínea, direcionada para baixo e arrematada por espécie de ponta de flecha (chapada). As três hastes posicionadas à frente da haste central apresentam corpo em curva, voltado para cima, ornado por volutas e arrematados por bocal.",61,76,,,,,Metal (folha-de-flandres) | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
10,112,Esquife,,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Esquife confeccionado em madeira escura (jacarandá), de estrutura retangular horizontal, contendo quatro varas torneadas e arrematadas por bola (para o transporte do objeto), apoiado sobre quatro pés torneados. Parte superior da peça composta por gradil com pequenas hastes em formato de balaústre, dispostas da seguinte forma: vinte hastes nas laterais (dez de cada lado) e oito nas partes frontal e posterior (quatro em cada parte), além de quatro hastes proeminentes, de dimensões maiores, disposta uma em cada extremidade. Na parte superior de uma das laterais do objeto, duas travas em metal (ferro) fixadas a argolas, para abertura do gradil, tendo duas dobradiças no mesmo metal na parte inferior. Estrado composto por doze tábuas de madeira, apoiadas sobre duas travessas espessas, de secção quadrangular, dispostas em cruz.","77,7","70,7",310,,,,Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
