,Número de registro,Denominação,Autor,Material/Técnica,Local de produção,Data de produção,Classificação,Dimensões - altura,Dimensões - profundidade/comprimento,Dimensões - largura,Dimensões - espessura,Dimensões - diâmetro,Resumo descritivo,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
31,33,Cruz (de banqueta),Não identificado,madeira | tinta,,Séc. XVIII/XIX,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"117,9",,24,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
32,35,Estampa religiosa,Impressão Editeurs des Écoles,madeira | papel | tinta | vidro,Paris (FRA),Séc. XIX,02 Artes Visuais/Cinematográfica > 02.4 Estampa,"48,7",,"61,8","1,8",,"Litogravura colorida, de formato retangular, representando a ""Morte do Justo"". Em primeiro plano, figura masculina, idosa, deitada sobre leito, em estado enfermo, recoberta por lençol branco. Cabeça com cabelos brancos apoiada sobre travesseiro, olhos semi-cerrados, nariz grande e boca entreaberta. Segura um crucifixo com sua mão esquerda, tendo a mão direita apoiada sobre a barriga. Ao seu lado, um terço e uma espécie de ex-voto. Logo abaixo, figura masculina alada (asas azuis), aparentando representar o diabo, de cabelos castanhos cacheados, com chifres e o restante do corpo finalizado por cauda de cobra, agoniza com a cabeça voltada para o chão em posição de desespero. Sobre o enfermo, nove personagens, em que se destacam o papa, o bispo e o sacerdote, este último de perfil e agachado, com traje marrom e estola bordada ao redor do pescoço, olha em direção ao enfermo. Na parede, em tom cinza, uma gravura de Nossa Senhora das Dores. À esquerda da cena, o anjo São Miguel, de asas longas e traje de guerreiro, com manto azul, saiote e botas cinzas, segura uma espada em punho, na sua mão direita, tendo sua perna direita posicionada mais à frente. Ao seu lado, figura alada, trajando túnica branca e manto azul, segura uma balança em seu braço direito, representando a Justiça. Em segundo plano, grupos de querubins inseridos em nuvens encontram-se dispostos da seguinte forma: quatro à direita; três na parte central e dois à esquerda, acompanhados por outros quatro anjos (""puttis""), um deles segurando, com sua mão esquerda, uma coroa de rosas brancas. Fundo em tom acinzentado com a figura da pomba, representando o Divino Espírito Santo. Moldura moderna em madeira purpurinada e com vestígios de tinta vermelha. Litogravura com vidro.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
33,36,Estampa religiosa,Impressão Editeurs des Écoles,madeira | papel | tinta | vidro,Paris (FRA),Séc. XX,02 Artes Visuais/Cinematográfica > 02.4 Estampa,"49,2",,"58,8","1,8",,"Litogravura colorida, de formato retangular, representando a ""Morte do Pecador"". Em primeiro plano, figura feminina, ajoelhada, de cabelos castanhos lisos presos em coque, trajando vestido vermelho com renda branca na parte superior e segurando o rosto e um lenço com as mãos, em estado de desespero.. Parte do lençol do enfermo (Pecador), que se encontra deitado, está sendo puxado por figura com corpo de homem, cauda e chifres, em tom cinza, posicionada à esquerda da cena. À direita, outra figura do mesmo gênero, alada, também representando o diabo, de pé e de perfil, segura nas mãos um retrato oval de figura feminina jovem ricamente ornada (possivelmente amante do Pecador). Ao centro, figura masculina, deitada sobre travesseiro branco e coberto por lençol branco e manta amarela, em estado enfermo, de perfil, com seu braço esquerdo estendido em direção ao retrato de mulher. Logo abaixo, pequeno móvel sobre o qual se vê uma caixa de jóias. No piso, em tábuas de madeira, um baú em tom cinza e um saco branco, recheado de moedas (representando a Fortuna), circundado por cobra verde. Ao lado do Pecador, figura eclesiástica (padre), trajando túnica e chapéu azuis, com manto branco e estola azul e branca, segura, com sua mão direita, um crucifixo, e tem sua mão esquerda apoiada sobre o ombro direito do enfermo. Na cabeceira do leito, outra figura com chifres estica seu braço direito sobre o Pecador. À direita da cena, cortina em tom verde. Em segundo plano, à esquerda, sob fundo avermelhado, figura masculina, idosa, sentada, de barba longa, trajando túnica azul sob manto vermelho e coroa, segura um tridente com sua mão direita e observa a cena à distância. Sobre sua cabeça, animais alados. Na parte central superior, nuvens em tom cinza circundam um anjo, de perfil e asas longas, com cabelos longos esvoaçantes, traja túnica amarela com gola branca, de onde parte um tecido branco na cintura. Apresenta-se com rosto coberto pela mãos, em estado de sofrimento ao olhar a cena. Sobre o anjo, pequena parte do céu em tom azul. Moldura moderna em madeira purpurinada e com vestígios de tinta vermelha. Passe-par-tout branco e vidro.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
34,37,Crucifixo,Não identificado,madeira | metal | tinta,Minas Gerais,Séc. XIX,09 Objetos Cerimoniais > 09.3 Objeto de Culto,23,,20,,,"Crucifixo confeccionado em madeira entalhada e policromada, e em metal (chumbo e bronze dourado), com base em rocha estilizada. Cristo em metal (chumbo). Figura masculina, seminu, com os braços suspensos e presos à cruz, esta com vestígios de policromia em tons verde, bege e vermelho. Rosto caído à sua direita, de cabelos compridos, corpo musculoso, com carnação, tendo tinta vermelha representando as chagas. Traja perizônio com nó lateral, preso por cordão com torsado. Pernas levemente flexionadas, tendo o seu pé direito apoiado sobre o esquerdo. Na parte inferior da cruz, representação de Nossa Senhora, em metal dourado. Figura feminina, de pé, coroada, com as mãos em posição de oração, trajando túnica e manto compridos, e apoiada sobre lua crescente. Base da cruz, representando colina, com ornamentação em pedras estilizadas, com vestígios de tinta vermelha. Parte posterior lisa e com vestígios de tinta branca.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
35,38,Castiçal (banqueta),Não identificado,folha de ouro | madeira | tinta,Minas Gerais,Séc. XVIII,05 Interiores > 05.4 Objeto de Iluminação,"46,6",,19,,,"Castiçal [de banqueta] confeccionado em madeira (cedro) entalhada, torneada, policromada e dourada. Base trifacetada com entalhe em volutas, apresentando cartela, na parte frontal, com ornato em flor estilizada emoldurada por friso, sobre três pés com terminação  composta por sete bolachas intercaladas por estrangulamentos e frisos, tendo bilro na parte central. Ausência da parte superior, arandela e bocal. Apresenta vestígios de tinta vermelha, além de base de preparação e douramento.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
36,39,Castiçal (tocheiro),Não identificado,folha de ouro | madeira | tinta,Minas Gerais,Séc. XVIII/XIX,05 Interiores > 05.4 Objeto de Iluminação,"44,6",,"14,8",,,"Castiçal confeccionado em madeira (cedro) entalhada, torneada, policromada e dourada. Base trifacetada, com vértices abaulados e cartela na parte frontal (sem a flor estilizada), apoiada sobre três pés abaulados e com volutas. Coluna composta por bolacha intercalada por anéis e frisos, seguida por estrutura delgada estriada e estrangulamento. Na parte central, ornato em folha estilizada sobre anéis intercalados por estrangulamento apoiados sobre estrutura triangular decorada com elementos fitomorfos estilizados. Arandela circular, de formato cônico, com ornatos de folhas estilizadas. Bocal mais estreito com friso em meia-cana apoiado sobre ornato com pequenas folhas. Apresenta vestígios de tinta amarela e douramento (purpurina).","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
37,40,Oratório portátil,Antônio Simão de Castro (pintura),ferro | madeira | tinta | vidro,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,"89,5",4,33,,,"Oratório portátil, de manufatura erudita, em estilo neoclássico, de médio porte, confeccionado em madeira (cedro) entalhada, recortada e policromada, composto por caixa retangular, contendo três portas, com cimalha abaulada contendo moldura escalonada e arremate superior em frontão, recortado em curvas e contracurvas, apresentando policromia em volutas sobre fundo em tom verde escuro e medalhão circular com representação da pomba do Divino cercada por nuvens estilizadas com contorno em dourado, marrom e azul. Oratório ladeado por colunas com capitel escalonado em tom marrom e fundo marmorizado. Na parte superior das portas frontal e laterais, sobre fundo azul, ornamentação com motivos florais, apresentando rosas em vermelho e bege, com ramagens  frontal feita através de porta emoldurada por frisos vermelhos, com duas folhas cada, contendo seis almofadas ornadas na parte central por motivos fitomorfos estilizados, em tom bege.  Fechamento das portas (frontal e laterais) através de tramelas  folha de porta é fixada à estrutura através de duas dobradiças  interna do oratório e portas decoradas com rosinhas de malabar, ornamentação típica da região de Minas Gerais, nos tons vermelho, com ramagens em verde, cercadas por nuvens brancas estilizadas e ornamentação em círculos brancos. Apresenta vidro na parte frontal, com desenhos fitomorfos em tinta branca. Parte posterior lisa, em tom azul claro, com a seguinte inscrição em tinta preta: ""18 de 7brº de 1872/ Pintado este oratório por Antônio Simões de Castro (Pintor)"". O oratório encontra-se apoiado sobre quatro pés quadrangulares, com recorte  ainda, na parte interna, à direita, duas pequenas peanhas.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
38,41,Mesa de encostar,Não identificado,madeira | metal,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,"86,3","92,1","52,6",,,"Mesa [de encostar] confeccionada em madeira clara, de formato retangular, com tampo liso, tendo uma gaveta emoldurada na parte frontal, com dois puxadores circulares terminados  centro, fechadura em metal com recorte em curvas, fixada à peça por três parafusos. Ornamentação na parte frontal em marchetaria formando moldura com desenho geométrico de laterais elípticas. Peça sustentada por quatro pernas torneadas com estrangulamentos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
39,42,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,89,44,"43,5",,,"Cadeira, de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento trapezoidal  dividido em duas traves, ambas com recortes em curva, sendo que na trave superior, o entalhe ultrapassa os montantes. Pernas dianteiras com joelheiras em curva e pernas posteriores levemente abauladas para trás. Não apresenta amarração em sua estrutura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
40,43,Baú,Não identificado,madeira,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,28,"54,2","22,9",,,"Baú de pequenas dimensões, de manufatura rústica, confeccionado em madeira (jacarandá), com ferragens em metal (ferro batido). Objeto com caixa de formato retangular, composto por tábuas de madeira. Tampo em madeira inteiriça apoiado sobre estrutura espessa e fixado ao corpo através de duas dobradiças em metal (ferro) presos por quatro parafusos. Na parte frontal, fechadura em ferro, de estrutura longilínea, presa por três parafusos. Espelho de fechadura inexistente. Estrutura da peça com encaixes laterais do tipo macho-fêmea. Base composta por tábua lisa.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
41,44,Baú,Não identificado,ferro | madeira | metal,Minas Gerais,Séc. XVIII/XIX,05 Interiores > 05.5 Peça de Mobiliário,"57,4",112,"59,2",,,"Baú confeccionado em madeira (jacarandá), de manufatura rústica, com ferragens em metal (ferro batido). Objeto composto por caixa retangular, com tampo saliente, emoldurado e abaulado, confeccionado em duas tábuas e fixado através de duas dobradiças ornadas por volutas na extremidade e presas por três parafusos. Encaixes laterais do tipo macho-fêmea. Fechadura longilínea, com terminação em voluta, em ferro batido, presa à peça por dobradiça. Espelho de fechadura em formato de ""copas"" invertida, com quatro ornatos em ponta, dispostos dois de cada lado, e preso à estrutura por cinco parafusos  interna com duas ripas de madeira para sustentação do tampo. À esquerda do objeto, na parte interna, escaninho composto por caixa retangular com tampo para colocação de pequenos objetos. Parte inferior externa emoldurada e parte posterior reta.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
42,45,Arca (cofre),Não identificado,madeira | metal | tinta,Minas Gerais,Séc. XVIII/XIX,05 Interiores > 05.5 Peça de Mobiliário,48,"71,4",43,,,"Arca-cofre, de dimensão média, confeccionada em madeira, com ferragens em metal (ferro batido). Objeto com caixa em formato retangular, com tampo abaulado composto por três tábuas e estruturas laterais  tábua central, posicionada mais à esquerda do tampo, abertura vazada em metal para colocação de valores pecuniários. Fixação do tampo à estrutura através de três dobradiças longilíneas que se prolongam até a parte posterior do objeto, com terminação em ponta e laterais em volutas, além de outras duas dobradiças delgadas nas laterais. A dobradiça central se prolonga até a parte frontal do tampo e apresenta ornatos em tamanho maior que as demais. Ausência dos espelhos de fechadura. Argolas em ferro nas ilhargas para movimentação do objeto. Peça apoiada sobre quatro pés quadrangulares recortados  frontal com dois ornatos em curva e contracurvas, além de outros dois ornatos que seguem os mesmos padrões decorativos das dobradiças do tampo. Nas abas, quatro estruturas em ferro encontram-se presas por quatro parafusos (cada uma delas). Parte interna lisa, com vestígios de tinta vermelha. Apresenta vestígios de pintura em tom esverdeado.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
